id_bien_immo;code_local;type_local;surf_re;nbre_piece;surf_car;id_com
0;2;Appartement;52;2;50.42;0
1;2;Appartement;48;3;48.22;1
2;2;Appartement;130;6;130.8;2
3;1;Maison;109;5;109.22;3
4;2;Appartement;91;4;108.65;4
5;2;Appartement;32;2;31.65;5
6;2;Appartement;52;2;52.58;6
7;2;Appartement;60;2;58.71;6
8;1;Maison;96;4;93.23;2
9;1;Maison;117;5;117;6
10;2;Appartement;36;2;35.6;3
11;2;Appartement;137;5;138.03;7
12;2;Appartement;43;2;42;8
13;2;Appartement;45;2;45.36;9
14;2;Appartement;84;4;82.6;4
15;2;Appartement;88;4;88.11;2
16;2;Appartement;143;6;164.87;10
17;2;Appartement;42;2;42.2;11
18;2;Appartement;65;3;68.11;12
19;2;Appartement;75;3;82.59;13
20;2;Appartement;30;1;30.23;1
21;2;Appartement;25;1;24.8;14
22;2;Appartement;52;2;52.6;15
23;2;Appartement;88;3;91.69;16
24;2;Appartement;45;1;45.54;9
25;2;Appartement;83;3;84.24;6
26;2;Appartement;68;3;68.23;10
27;2;Appartement;64;3;62.03;17
28;1;Maison;109;4;112.93;18
29;2;Appartement;133;4;131.91;6
30;2;Appartement;63;3;63.58;13
31;2;Appartement;50;3;35.86;5
32;2;Appartement;74;3;70.09;15
33;2;Appartement;121;4;200;19
34;2;Appartement;62;2;54.84;10
35;2;Appartement;73;4;72.75;17
36;1;Maison;88;2;94.09;15
37;2;Appartement;71;3;71.08;13
38;1;Maison;101;4;97.03;13
39;2;Appartement;45;2;44.48;20
40;2;Appartement;63;2;64.21;21
41;1;Maison;68;3;70.1;10
42;2;Appartement;90;4;76.7;22
43;2;Appartement;120;4;133.77;13
44;2;Appartement;106;5;107.61;23
45;2;Appartement;43;2;42.78;24
46;1;Maison;120;5;124.55;25
47;2;Appartement;67;2;68.11;7
48;2;Appartement;68;3;70.78;26
49;2;Appartement;112;5;112.3;6
50;1;Maison;95;4;95.43;20
51;2;Appartement;63;3;63.45;13
52;2;Appartement;75;4;77.3;27
53;1;Maison;160;6;164.18;9
54;2;Appartement;67;3;66.95;13
55;2;Appartement;31;1;30.62;6
56;2;Appartement;166;5;165.92;6
57;2;Appartement;56;2;51.99;28
58;2;Appartement;63;3;63.17;17
59;2;Appartement;88;3;84.97;14
60;2;Appartement;87;4;88.7;9
61;2;Appartement;51;2;50.64;10
62;2;Appartement;39;1;38;4
63;2;Appartement;71;3;70.53;18
64;1;Maison;143;6;105.68;11
65;2;Appartement;53;3;46.12;9
66;2;Appartement;39;2;37.63;15
67;2;Appartement;89;4;87.38;20
68;2;Appartement;50;2;50.33;9
69;2;Appartement;136;4;134.17;29
70;2;Appartement;62;3;47.65;4
71;1;Maison;102;4;99.13;25
72;2;Appartement;43;2;43.42;25
73;1;Maison;83;4;83.6;30
74;2;Appartement;55;2;54.65;10
75;2;Appartement;81;3;81.15;10
76;2;Appartement;56;3;53.43;6
77;2;Appartement;75;3;74.85;13
78;1;Maison;90;4;90.33;18
79;1;Maison;86;4;99.39;31
80;1;Maison;118;5;123.16;1
81;1;Maison;110;5;110.13;20
82;2;Appartement;70;3;71.43;20
83;2;Appartement;56;3;56.02;25
84;2;Appartement;85;4;85.12;32
85;2;Appartement;74;4;75;4
86;2;Appartement;133;4;135.68;2
87;2;Appartement;33;2;35.59;10
88;2;Appartement;63;3;62.38;4
89;2;Appartement;100;4;92.04;4
90;2;Appartement;46;2;46.05;2
91;2;Appartement;34;2;34.56;9
92;2;Appartement;43;2;43.23;33
93;1;Maison;80;4;83.82;13
94;2;Appartement;39;2;38.67;17
95;2;Appartement;92;3;88;7
96;2;Appartement;57;2;56.96;13
97;2;Appartement;55;3;55.4;9
98;2;Appartement;79;2;74.72;10
99;2;Appartement;190;6;295.21;34
100;1;Maison;170;3;222.97;31
101;2;Appartement;113;4;113.52;18
102;2;Appartement;127;4;127.2;35
103;2;Appartement;49;2;47.6;6
104;2;Appartement;74;3;65.29;36
105;2;Appartement;83;4;81.24;4
106;2;Appartement;32;2;42.89;37
107;2;Appartement;69;3;69.66;4
108;2;Appartement;69;3;69.65;25
109;2;Appartement;64;3;64.44;7
110;2;Appartement;88;4;88.83;4
111;2;Appartement;35;3;35.3;38
112;2;Appartement;40;2;45.5;23
113;1;Maison;77;4;73.77;20
114;2;Appartement;67;3;67.94;11
115;2;Appartement;30;1;22.2;7
116;2;Appartement;48;2;48.38;39
117;2;Appartement;56;2;56.65;4
118;2;Appartement;32;2;32.27;33
119;2;Appartement;68;4;61.54;9
120;1;Maison;80;4;82.37;17
121;2;Appartement;53;3;53.81;5
122;2;Appartement;71;3;71.8;40
123;2;Appartement;63;3;63.54;13
124;1;Maison;102;6;101.52;25
125;2;Appartement;42;2;51.7;2
126;2;Appartement;115;4;114.17;13
127;2;Appartement;21;2;21.48;28
128;2;Appartement;36;1;36.21;13
129;2;Appartement;48;2;44.24;36
130;2;Appartement;54;2;54.7;4
131;2;Appartement;54;2;51;9
132;2;Appartement;41;2;42.92;1
133;2;Appartement;67;3;68.08;11
134;2;Appartement;69;3;70.15;4
135;2;Appartement;56;2;57.23;4
136;2;Appartement;131;5;132.16;6
137;2;Appartement;63;2;58.62;2
138;2;Appartement;60;3;61.89;4
139;2;Appartement;105;3;92.45;9
140;2;Appartement;71;3;71.29;15
141;1;Maison;101;5;138.05;6
142;2;Appartement;30;1;45.12;14
143;2;Appartement;75;3;70.45;10
144;2;Appartement;77;4;78.54;17
145;2;Appartement;58;2;52.58;6
146;2;Appartement;22;2;30.98;41
147;2;Appartement;106;5;95.66;13
148;2;Appartement;87;4;87.23;42
149;2;Appartement;92;5;92.47;10
150;2;Appartement;89;5;89.2;4
151;2;Appartement;40;1;28.8;4
152;2;Appartement;46;2;46.68;26
