id_vente;date_mut;nat_mut;val_fonc;id_bien_immo
0;2020-02-03 00:00:00;Vente;56000;0
1;2020-01-02 00:00:00;Vente;165000;1
2;2020-01-08 00:00:00;Vente;720000;2
3;2020-01-06 00:00:00;Vente;429250;3
4;2020-01-07 00:00:00;Vente;220900;4
5;2020-01-21 00:00:00;Vente;42000;5
6;2020-01-07 00:00:00;Vente;262000;6
7;2020-01-08 00:00:00;Vente;190000;7
8;2020-01-16 00:00:00;Vente;563130;8
9;2020-01-17 00:00:00;Vente;535000;9
10;2020-01-16 00:00:00;Vente;330000;10
11;2020-01-27 00:00:00;Vente;110600;11
12;2020-01-30 00:00:00;Vente;50000;12
13;2020-01-09 00:00:00;Vente;212000;13
14;2020-01-15 00:00:00;Vente;160000;14
15;2020-01-20 00:00:00;Vente;561550;15
16;2020-01-28 00:00:00;Vente;358000;16
17;2020-01-22 00:00:00;Vente;220000;17
18;2020-01-27 00:00:00;Vente;79300;18
19;2020-01-06 00:00:00;Vente;285000;19
20;2020-01-27 00:00:00;Vente;123100;20
21;2020-01-16 00:00:00;Vente;107500;21
22;2020-01-30 00:00:00;Vente;128810;22
23;2020-02-05 00:00:00;Vente;31000;23
24;2020-01-21 00:00:00;Vente;125000;24
25;2020-01-31 00:00:00;Vente;285000;25
26;2020-02-03 00:00:00;Vente;140500;26
27;2020-01-27 00:00:00;Vente;101050;27
28;2020-01-31 00:00:00;Vente;530000;28
29;2020-01-29 00:00:00;Vente;486415;29
30;2020-01-28 00:00:00;Vente;185000;30
31;2020-01-16 00:00:00;Vente;131376;31
32;2020-01-23 00:00:00;Vente;155000;32
33;2020-01-31 00:00:00;Vente;150000;33
34;2020-02-03 00:00:00;Vente;67000;34
35;2020-01-13 00:00:00;Vente;114000;35
36;2020-02-07 00:00:00;Vente;143850;36
37;2020-01-23 00:00:00;Vente;237900;37
38;2020-01-24 00:00:00;Vente;425000;38
39;2020-02-06 00:00:00;Vente;220000;39
40;2020-02-07 00:00:00;Vente;55000;40
41;2020-02-07 00:00:00;Vente;164665;41
42;2020-02-10 00:00:00;Vente;89000;42
43;2020-02-06 00:00:00;Vente;475150;43
44;2020-02-12 00:00:00;Vente;132500;44
45;2020-02-05 00:00:00;Vente;68000;45
46;2020-01-30 00:00:00;Vente;570840;46
47;2020-02-03 00:00:00;Vente;135700;47
48;2020-02-05 00:00:00;Vente;62500;48
49;2020-02-03 00:00:00;Vente;332500;49
50;2020-02-07 00:00:00;Vente;428000;50
51;2020-01-28 00:00:00;Vente;210000;51
52;2020-02-12 00:00:00;Vente;50000;52
53;2020-01-28 00:00:00;Vente;592487;53
54;2020-02-10 00:00:00;Vente;295000;54
55;2020-02-12 00:00:00;Vente;133000;55
56;2020-01-29 00:00:00;Vente;580450;56
57;2020-02-20 00:00:00;Vente;105500;57
58;2020-02-04 00:00:00;Vente;152900;58
59;2020-02-05 00:00:00;Vente;352300;59
60;2020-02-17 00:00:00;Vente;215000;60
61;2020-02-14 00:00:00;Vente;128460;61
62;2020-02-14 00:00:00;Vente;90500;62
63;2020-02-11 00:00:00;Vente;305500;63
64;2020-02-18 00:00:00;Vente;430000;64
65;2020-02-04 00:00:00;Vente;152470;65
66;2020-02-13 00:00:00;Vente;55000;66
67;2020-02-18 00:00:00;Vente;465660.47;67
68;2020-02-12 00:00:00;Vente;167550;68
69;2020-02-11 00:00:00;Vente;212862;69
70;2020-02-19 00:00:00;Vente;54000;70
71;2020-02-14 00:00:00;Vente;390000;71
72;2020-02-24 00:00:00;Vente;160000;72
73;2020-02-25 00:00:00;Vente;156580;73
74;2020-02-18 00:00:00;Vente;129258;74
75;2020-02-28 00:00:00;Vente;210000;75
