"","","","2013 [2013]","2013 [2013]","2013 [2013]"
"","","","Unité","Valeur","Description du Symbole"
"Afghanistan [2]","Aliments pour animaux [5521]","Avoine [2516]","","",""
"Afghanistan [2]","Aliments pour animaux [5521]","Blé et produits [2511]","","",""
"Afghanistan [2]","Aliments pour animaux [5521]","Céréales, Autres [2520]","","",""
"Afghanistan [2]","Aliments pour animaux [5521]","Maïs et produits [2514]","Milliers de tonnes","200","Données standardisées"
"Afghanistan [2]","Aliments pour animaux [5521]","Millet et produits [2517]","","",""
"Afghanistan [2]","Aliments pour animaux [5521]","Orge et produits [2513]","Milliers de tonnes","360","Données standardisées"
"Afghanistan [2]","Aliments pour animaux [5521]","Riz (Eq Blanchi) [2805]","","",""
"Afghanistan [2]","Aliments pour animaux [5521]","Seigle et produits [2515]","","",""
"Afghanistan [2]","Aliments pour animaux [5521]","Sorgho et produits [2518]","","",""
"Afghanistan [2]","Autres utilisations (non alimentaire) [5154]","Avoine [2516]","","",""
"Afghanistan [2]","Autres utilisations (non alimentaire) [5154]","Blé et produits [2511]","","",""
"Afghanistan [2]","Autres utilisations (non alimentaire) [5154]","Céréales, Autres [2520]","","",""
"Afghanistan [2]","Autres utilisations (non alimentaire) [5154]","Maïs et produits [2514]","","",""
"Afghanistan [2]","Autres utilisations (non alimentaire) [5154]","Millet et produits [2517]","","",""
"Afghanistan [2]","Autres utilisations (non alimentaire) [5154]","Orge et produits [2513]","","",""
"Afghanistan [2]","Autres utilisations (non alimentaire) [5154]","Riz (Eq Blanchi) [2805]","","",""
"Afghanistan [2]","Autres utilisations (non alimentaire) [5154]","Seigle et produits [2515]","","",""
"Afghanistan [2]","Autres utilisations (non alimentaire) [5154]","Sorgho et produits [2518]","","",""
"Afghanistan [2]","Disponibilité alimentaire (Kcal/personne/jour)","Avoine [2516]","","",""
"Afghanistan [2]","Disponibilité alimentaire (Kcal/personne/jour)","Blé et produits [2511]","Kcal/personne/jour","1369","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire (Kcal/personne/jour)","Céréales, Autres [2520]","Kcal/personne/jour","0","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire (Kcal/personne/jour)","Maïs et produits [2514]","Kcal/personne/jour","21","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire (Kcal/personne/jour)","Millet et produits [2517]","Kcal/personne/jour","3","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire (Kcal/personne/jour)","Orge et produits [2513]","Kcal/personne/jour","26","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire (Kcal/personne/jour)","Riz (Eq Blanchi) [2805]","Kcal/personne/jour","141","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire (Kcal/personne/jour)","Seigle et produits [2515]","","",""
"Afghanistan [2]","Disponibilité alimentaire (Kcal/personne/jour)","Sorgho et produits [2518]","","",""
"Afghanistan [2]","Disponibilité alimentaire en quantité (kg/personne/an)","Avoine [2516]","","",""
"Afghanistan [2]","Disponibilité alimentaire en quantité (kg/personne/an)","Blé et produits [2511]","kg","160.23","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire en quantité (kg/personne/an)","Céréales, Autres [2520]","kg","0","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire en quantité (kg/personne/an)","Maïs et produits [2514]","kg","2.5","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire en quantité (kg/personne/an)","Millet et produits [2517]","kg","0.4","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire en quantité (kg/personne/an)","Orge et produits [2513]","kg","2.92","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire en quantité (kg/personne/an)","Riz (Eq Blanchi) [2805]","kg","13.82","Donnée calculée"
"Afghanistan [2]","Disponibilité alimentaire en quantité (kg/personne/an)","Seigle et produits [2515]","","",""
