Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2511","Bl? et produits","2017","2017","Milliers de tonnes","4281","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantit?","2511","Bl? et produits","2017","2017","Milliers de tonnes","3080","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2511","Bl? et produits","2017","2017","Milliers de tonnes","208","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5911","Exportations - Quantit?","2511","Bl? et produits","2017","2017","Milliers de tonnes","2","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","7151","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5521","Aliments pour animaux","2511","Bl? et produits","2017","2017","Milliers de tonnes","221","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5123","Pertes","2511","Bl? et produits","2017","2017","Milliers de tonnes","642","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2511","Bl? et produits","2017","2017","Milliers de tonnes","5944","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2511","Bl? et produits","2017","2017","kg","163.76","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2511","Bl? et produits","2017","2017","Kcal/personne/jour","1404","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2511","Bl? et produits","2017","2017","g/personne/jour","37.79","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2511","Bl? et produits","2017","2017","g/personne/jour","5.08","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2807","Riz et produits","2017","2017","Milliers de tonnes","338","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantit?","2807","Riz et produits","2017","2017","Milliers de tonnes","415","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2807","Riz et produits","2017","2017","Milliers de tonnes","15","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5911","Exportations - Quantit?","2807","Riz et produits","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","739","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5521","Aliments pour animaux","2807","Riz et produits","2017","2017","Milliers de tonnes","4","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5123","Pertes","2807","Riz et produits","2017","2017","Milliers de tonnes","24","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2807","Riz et produits","2017","2017","Milliers de tonnes","700","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2807","Riz et produits","2017","2017","kg","19.28","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2807","Riz et produits","2017","2017","Kcal/personne/jour","181","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2807","Riz et produits","2017","2017","g/personne/jour","3.44","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2807","Riz et produits","2017","2017","g/personne/jour","0.36","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2513","Orge et produits","2017","2017","Milliers de tonnes","95","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantit?","2513","Orge et produits","2017","2017","Milliers de tonnes","15","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2513","Orge et produits","2017","2017","Milliers de tonnes","-40","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5911","Exportations - Quantit?","2513","Orge et produits","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","150","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5521","Aliments pour animaux","2513","Orge et produits","2017","2017","Milliers de tonnes","67","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5123","Pertes","2513","Orge et produits","2017","2017","Milliers de tonnes","14","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2513","Orge et produits","2017","2017","Milliers de tonnes","58","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2513","Orge et produits","2017","2017","kg","1.61","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2513","Orge et produits","2017","2017","Kcal/personne/jour","14","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2513","Orge et produits","2017","2017","g/personne/jour","0.44","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2513","Orge et produits","2017","2017","g/personne/jour","0.13","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2514","Ma?s et produits","2017","2017","Milliers de tonnes","174","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantit?","2514","Ma?s et produits","2017","2017","Milliers de tonnes","29","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2514","Ma?s et produits","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5911","Exportations - Quantit?","2514","Ma?s et produits","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","203","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5521","Aliments pour animaux","2514","Ma?s et produits","2017","2017","Milliers de tonnes","111","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5123","Pertes","2514","Ma?s et produits","2017","2017","Milliers de tonnes","26","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
