"","","","2013 [2013]","2013 [2013]","2013 [2013]"
"","","","Unit?","Valeur","Description du Symbole"
"Tha?lande [216]","Aliments pour animaux [5521]","Manioc et produits [2532]","Milliers de tonnes","1800","Donn?es standardis?es"
"Tha?lande [216]","Autres utilisations (non alimentaire) [5154]","Manioc et produits [2532]","Milliers de tonnes","2081","Donn?es standardis?es"
"Tha?lande [216]","Disponibilit? alimentaire en quantit? (kg/personne/an)","Manioc et produits [2532]","kg","13","Donn?e calcul?e"
"Tha?lande [216]","Disponibilit? int?rieure [5301]","Manioc et produits [2532]","Milliers de tonnes","6264","Donn?es standardis?es"
"Tha?lande [216]","Exportations - Quantit? [5911]","Manioc et produits [2532]","Milliers de tonnes","25214","Donn?es standardis?es"
"Tha?lande [216]","Importations - Quantit? [5611]","Manioc et produits [2532]","Milliers de tonnes","1250","Donn?es standardis?es"
"Tha?lande [216]","Nourriture [5142]","Manioc et produits [2532]","Milliers de tonnes","871","Donn?es standardis?es"
"Tha?lande [216]","Pertes [5123]","Manioc et produits [2532]","Milliers de tonnes","1511","Donn?es standardis?es"
"Tha?lande [216]","Production [5511]","Manioc et produits [2532]","Milliers de tonnes","30228","Donn?es standardis?es"
"Tha?lande [216]","Traitement [5131]","Manioc et produits [2532]","Milliers de tonnes","0","Donn?es standardis?es"
"Tha?lande [216]","Variation de stock [5072]","Manioc et produits [2532]","Milliers de tonnes","0","Donn?es standardis?es"
"","","","","",""
"","","","","",""
