Code Domaine,Domaine,Code zone,Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","5511","Production","2532","Manioc et produits","2013","2013","Milliers de tonnes","30228","S","Donn?es standardis?es"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","5611","Importations - Quantit?","2532","Manioc et produits","2013","2013","Milliers de tonnes","1250","S","Donn?es standardis?es"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","5072","Variation de stock","2532","Manioc et produits","2013","2013","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","5911","Exportations - Quantit?","2532","Manioc et produits","2013","2013","Milliers de tonnes","25214","S","Donn?es standardis?es"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","5301","Disponibilit? int?rieure","2532","Manioc et produits","2013","2013","Milliers de tonnes","6264","S","Donn?es standardis?es"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","5521","Aliments pour animaux","2532","Manioc et produits","2013","2013","Milliers de tonnes","1800","S","Donn?es standardis?es"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","5123","Pertes","2532","Manioc et produits","2013","2013","Milliers de tonnes","1511","S","Donn?es standardis?es"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","5131","Traitement","2532","Manioc et produits","2013","2013","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","5154","Autres utilisations (non alimentaire)","2532","Manioc et produits","2013","2013","Milliers de tonnes","2081","S","Donn?es standardis?es"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","5142","Nourriture","2532","Manioc et produits","2013","2013","Milliers de tonnes","871","S","Donn?es standardis?es"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2532","Manioc et produits","2013","2013","kg","13","Fc","Donn?e calcul?e"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","664","Disponibilit? alimentaire (Kcal/personne/jour)","2532","Manioc et produits","2013","2013","Kcal/personne/jour","40","Fc","Donn?e calcul?e"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2532","Manioc et produits","2013","2013","g/personne/jour","0.14","Fc","Donn?e calcul?e"
"FBSH","Bilans Alimentaires (-2013, ancienne m?thodologie et population)","216","Tha?lande","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2532","Manioc et produits","2013","2013","g/personne/jour","0.05","Fc","Donn?e calcul?e"
