,Zone,Disponibilite alimentaire (Kcal/personne/jour),Production,Disponibilite interieure,Exportations,Importations,Conso_Volaille,Viande_tot,Population 2016,Population 2017,Variation_Population,PIB,Groupe,_merge
0,Afghanistan,5.0,28.0,57.0,0.0,29.0,55.0,312.0,35383032.0,36296113.0,2.52,2058.4,4,both
1,Afrique du Sud,143.0,1667.0,2118.0,63.0,514.0,2035.0,3422.0,56207646.0,57009756.0,1.41,13860.3,6,both
2,Albanie,85.0,13.0,47.0,0.0,38.0,47.0,136.0,2886438.0,2884169.0,-0.08,12771.0,6,both
3,Algérie,22.0,275.0,277.0,0.0,2.0,264.0,748.0,40551392.0,41389189.0,2.02,11737.4,4,both
4,Allemagne,71.0,1514.0,1739.0,646.0,842.0,1609.0,7255.0,82193768.0,82658409.0,0.56,53071.5,5,both
5,Angola,35.0,42.0,319.0,0.0,277.0,315.0,701.0,28842489.0,29816766.0,3.27,7310.9,4,both
6,Antigua-et-Barbuda,233.0,0.0,7.0,0.0,7.0,5.0,7.0,94527.0,95426.0,0.94,19840.3,6,both
7,Arabie saoudite,151.0,616.0,1435.0,10.0,722.0,1435.0,1791.0,32443447.0,33101178.999999996,1.99,47306.2,5,both
8,Argentine,182.0,2161.0,1962.0,207.0,8.0,1856.0,4805.0,43508460.0,43937140.0,0.98,23597.1,6,both
9,Arménie,54.0,11.0,47.0,0.0,35.0,47.0,134.0,2936143.0,2944791.0,0.29,12115.1,6,both
10,Australie,192.0,1269.0,1171.0,42.0,16.0,1171.0,2989.0,24262712.0,24584620.0,1.31,48398.5,6,both
11,Autriche,65.0,148.0,173.0,78.0,110.0,160.0,769.0,8747301.0,8819901.0,0.82,54173.0,6,both
12,Azerbaïdjan,44.0,104.0,129.0,0.0,27.0,129.0,336.0,9736043.0,9845320.0,1.11,14121.4,4,both
13,Bahamas,182.0,6.0,26.0,0.0,24.0,16.0,25.0,377930.0,381755.0,1.0,35911.7,6,both
14,Bangladesh,7.0,249.0,250.0,0.0,0.0,240.0,646.0,157977153.0,159685424.0,1.07,4894.6,4,both
15,Barbade,199.0,15.0,17.0,0.0,2.0,13.0,20.0,285796.0,286232.0,0.15,15800.4,6,both
16,Belgique,44.0,463.0,152.0,656.0,338.0,144.0,750.0,11354420.0,11419748.0,0.57,50442.3,5,both
17,Belize,110.0,20.0,19.0,0.0,0.0,10.0,15.0,368400.0,375769.0,1.96,7140.9,6,both
18,Bolivie (État plurinational de),155.0,533.0,429.0,1.0,1.0,403.0,799.0,11031814.0,11192855.0,1.44,8423.7,6,both
19,Bosnie-Herzégovine,56.0,61.0,55.0,8.0,10.0,56.0,121.0,3386266.0,3351525.0,-1.04,13753.8,6,both
20,Botswana,12.0,5.0,7.0,0.0,3.0,7.0,54.0,2159927.0,2205080.0,2.05,15948.0,4,both
21,Brésil,204.0,14201.0,9982.0,4223.0,3.0,9982.0,20750.0,206163053.0,207833823.0,0.8,14524.6,1,both
22,Bulgarie,81.0,107.0,157.0,45.0,108.0,157.0,415.0,7151953.0,7102444.0,-0.7,21469.9,6,both
23,Burkina Faso,8.0,46.0,46.0,0.0,0.0,44.0,231.0,18646357.0,19193234.0,2.85,2044.4,4,both
24,Bélarus,95.0,463.0,265.0,152.0,21.0,264.0,770.0,9445643.0,9450231.0,0.05,18356.1,6,both
25,Bénin,37.0,18.0,161.0,0.0,123.0,161.0,226.0,10872063.0,11175198.0,2.71,3044.5,4,both
26,Cabo Verde,62.0,1.0,10.0,0.0,12.0,9.0,17.0,531146.0,537498.0,1.18,6643.2,4,both
27,Cambodge,11.0,28.0,38.0,0.0,10.0,37.0,197.0,15766292.0,16009409.0,1.52,3928.4,4,both
